genome,completeness,contamination,length,N50
EHA03439_bin.9.fa.gz,91.84,4.79,4668988,43540
EHA03781_bin.38.fa.gz,83.42,2.33,4502066,4058
EHA00659_bin.36.fa.gz,99.46,0.0,3450320,104786
EHA01421_bin.92.fa.gz,76.52,0.0,4546213,22847
EHA03694_bin.183.fa.gz,95.49,4.16,2683856,9108
EHA00644_bin.22.fa.gz,94.4,0.0,1010589,174534
EHA01404_bin.86.fa.gz,88.45,3.556,3219936,5897
EHA03407_bin.15.fa.gz,67.58,0.48,1788019,3355
EHA03781_bin.635.fa.gz,97.0,3.62,1071241,2253
EHA03755_bin.351.fa.gz,73.27,4.03,1254284,2921
EHA03651_bin.458.fa.gz,91.33,0.93,2204801,4574
EHA03651_bin.74.fa.gz,92.23,0.14,2372547,5842
EHA03651_bin.233.fa.gz,100.0,1.72,2667804,18269
EHA00565_bin.16.fa.gz,67.78,0.632,2360827,3595
EHA01439_bin.12.fa.gz,93.89,0.0,1906139,16542
EHA00657_bin.1.fa.gz,99.1,0.384,5006116,80775
EHA03374_bin.22.fa.gz,52.35,8.62,3316291,2080
EHA03408_bin.12.fa.gz,99.56,0.49,3083581,50676
EHA00728_bin.16.fa.gz,52.0,0.188,937265,3257
EHA03597_bin.31.fa.gz,62.18,0.96,2403626,8187
EHA03593_bin.14.fa.gz,100.0,0.11,3728920,96343
EHA03694_bin.328.fa.gz,95.59,0.06,1180838,68425
EHA03694_bin.419.fa.gz,96.8,0.55,1598929,37776
EHA03755_bin.10.fa.gz,99.18,0.36,3079769,60977
EHA00726_bin.21.fa.gz,92.13,1.685,1211956,36024
EHA03755_bin.301.fa.gz,60.47,0.96,1646987,5227
EHA02869_bin.95.fa.gz,66.21,1.74,2089122,3387
EHA03651_bin.391.fa.gz,76.98,0.96,2442352,3671
EHA03651_bin.338.fa.gz,79.32,3.92,1471141,3867
EHA03408_bin.46.fa.gz,52.69,3.58,3129503,5160
EHA03391_bin.13.fa.gz,61.64,2.92,1539273,4090
EHA03388_bin.18.fa.gz,96.93,0.36,3373260,160644
EHA03781_bin.104.fa.gz,93.35,1.95,1145751,27307
EHA01826_bin.45.fa.gz,83.72,2.63,1384601,2717
EHA01415_bin.9.fa.gz,96.67,1.006,3326072,18514
EHA03588_bin.19.fa.gz,87.58,6.34,3448408,6577
EHA03406_bin.13.fa.gz,88.14,0.03,5343073,157369
EHA03411_bin.11.fa.gz,99.79,2.39,2643384,69489
EHA03651_bin.408.fa.gz,88.17,6.84,2731516,3456
EHA03434_bin.56.fa.gz,94.41,0.03,2312490,136952
EHA03385_bin.29.fa.gz,73.14,1.06,2792610,5406
EHA03586_bin.21.fa.gz,91.0,5.56,4475406,33679
EHA03694_bin.579.fa.gz,87.49,1.51,1486523,12004
EHA00679_bin.16.fa.gz,95.0,0.0,2330514,133966
EHA03444_bin.14.fa.gz,91.69,2.19,2371812,17526
EHA03694_bin.604.fa.gz,93.63,0.8,2853334,8548
EHA00659_bin.8.fa.gz,75.38,0.391,1610204,4427
EHA03414_bin.17.fa.gz,63.66,6.12,2169325,3117
EHA03781_bin.204.fa.gz,94.38,0.85,2442049,21075
EHA01443_bin.98.fa.gz,98.43,1.565,3585542,43032
EHA03781_bin.67.fa.gz,68.8,2.21,2209841,3802
EHA00678_bin.5.fa.gz,72.41,0.0,5319505,80263
EHA01432_bin.137.fa.gz,80.85,0.34,2109515,4648
EHA03373_bin.14.fa.gz,54.21,4.88,2516401,3060
EHA03694_bin.571.fa.gz,57.17,1.59,1468758,4351
EHA03599_bin.12.fa.gz,71.37,0.74,2004177,13123
EHA00805_bin.64.fa.gz,95.28,0.943,3555965,79542
EHA01426_bin.75.fa.gz,79.65,0.0,4798608,22684
EHA03386_bin.8.fa.gz,99.84,0.57,2269390,94837
EHA03694_bin.22.fa.gz,89.98,3.37,4810896,14855
EHA03781_bin.230.fa.gz,95.94,0.76,3066865,87090
EHA03694_bin.34.fa.gz,85.09,0.54,3376443,23241
EHA01432_bin.39.fa.gz,84.12,1.602,1832511,8731
EHA03428_bin.20.fa.gz,51.04,6.82,2258124,2464
EHA00726_bin.4.fa.gz,96.64,0.671,2832699,108790
EHA03376_bin.17.fa.gz,98.71,0.35,2729124,18292
EHA02915_bin.5.fa.gz,99.32,0.14,2492844,46984
EHA01426_bin.96.fa.gz,60.81,1.479,2153338,2820
EHA00657_bin.9.fa.gz,99.61,0.641,4174008,241682
EHA03694_bin.89.fa.gz,79.49,0.24,5805264,22726
EHA03415_bin.43.fa.gz,52.04,6.49,2303612,18679
EHA03781_bin.260.fa.gz,96.78,0.25,1541472,5552
EHA03781_bin.5.fa.gz,95.51,0.04,2994849,47520
EHA00645_bin.3.fa.gz,95.33,5.096,1168309,2995
EHA03755_bin.7.fa.gz,87.16,0.06,3374164,29619
EHA01436_bin.65.fa.gz,99.06,0.0,3377913,56657
EHA01443_bin.15.fa.gz,90.7,3.099,3554704,11753
EHA00641_bin.14.fa.gz,94.35,1.209,2005023,80536
EHA01432_bin.4.fa.gz,97.35,0.388,3922438,41983
EHA03651_bin.300.fa.gz,63.06,2.49,2705620,5074
EHA03421_bin.21.fa.gz,84.7,3.86,5089421,59258
EHA01402_bin.7.fa.gz,73.32,1.002,3882191,6184
EHA03651_bin.506.fa.gz,54.09,3.16,1579921,2139
EHA01402_bin.19.fa.gz,81.56,1.74,2047098,4743
EHA03781_bin.114.fa.gz,84.95,0.77,4106963,11958
EHA03755_bin.26.fa.gz,90.62,0.58,4243833,28246
EHA03420_bin.13.fa.gz,53.81,1.48,2201454,3716
EHA00720_bin.7.fa.gz,62.06,1.958,1093132,4264
EHA03651_bin.486.fa.gz,88.74,0.19,2095165,6481
EHA03428_bin.19.fa.gz,59.09,4.65,3677730,12724
EHA03395_bin.11.fa.gz,95.3,0.2,916612,32917
EHA03415_bin.53.fa.gz,50.98,5.83,1962276,6290
EHA03694_bin.438.fa.gz,89.32,5.16,1636463,4968
EHA01432_bin.36.fa.gz,97.98,0.671,2180929,111639
EHA03651_bin.356.fa.gz,99.98,2.8,3790107,8463
EHA00646_bin.11.fa.gz,92.53,1.865,6609825,89525
EHA03755_bin.9.fa.gz,98.1,0.03,3803845,46906
EHA03440_bin.17.fa.gz,87.18,1.55,2820181,16542
EHA03694_bin.494.fa.gz,93.3,1.38,1306739,14633
EHA01826_bin.64.fa.gz,57.82,1.12,3701420,8226
EHA03755_bin.378.fa.gz,54.87,2.03,1753541,2895
EHA03599_bin.45.fa.gz,88.95,3.23,2813838,2667
EHA02869_bin.106.fa.gz,67.85,0.37,2070263,2823
EHA03694_bin.255.fa.gz,100.0,0.0,2462203,100417
EHA01447_bin.48.fa.gz,63.39,4.306,3063471,4593
EHA01404_bin.27.fa.gz,60.24,0.671,1193746,3246
EHA03781_bin.118.fa.gz,93.63,0.48,2962388,91348
EHA00804_bin.52.fa.gz,98.65,0.894,4128884,96958
EHA01436_bin.56.fa.gz,50.4,0.699,1075435,2865
EHA01404_bin.119.fa.gz,85.51,1.612,1526055,6226
EHA03587_bin.19.fa.gz,99.06,0.14,3902435,99236
EHA03431_bin.6.fa.gz,88.68,0.39,2903645,48563
EHA00722_bin.7.fa.gz,95.97,0.646,3323748,239740
EHA01409_bin.58.fa.gz,98.66,0.111,4108092,6693
EHA00651_bin.32.fa.gz,98.88,0.793,5365945,384168
EHA03437_bin.29.fa.gz,68.21,2.6,1868910,4352
EHA03694_bin.433.fa.gz,99.37,2.59,2314936,8162
EHA03387_bin.30.fa.gz,63.03,0.92,2673715,6147
EHA00645_bin.9.fa.gz,88.28,2.522,1842003,46691
EHA02915_bin.62.fa.gz,99.35,0.01,3416779,22065
EHA03591_bin.5.fa.gz,98.95,2.26,2234950,75428
EHA00668_bin.5.fa.gz,93.41,2.095,1575582,6901
EHA03781_bin.134.fa.gz,79.34,0.29,3519073,14881
EHA03781_bin.92.fa.gz,96.66,0.04,2254561,29321
EHA03434_bin.8.fa.gz,99.84,3.4,2327828,9700
EHA03781_bin.397.fa.gz,99.88,1.32,1644008,3433
EHA03694_bin.99.fa.gz,84.12,1.22,5407512,16510
EHA03651_bin.311.fa.gz,97.43,0.01,3695865,79310
EHA00805_bin.31.fa.gz,86.34,1.906,2182908,8293
EHA03694_bin.257.fa.gz,96.55,0.04,1657621,15759
EHA03694_bin.243.fa.gz,98.34,0.36,3396486,13078
EHA03451_bin.6.fa.gz,78.57,6.65,4297422,6746
EHA01439_bin.58.fa.gz,97.98,0.0,2856652,78889
EHA03755_bin.23.fa.gz,79.36,0.14,1805153,3768
EHA03422_bin.26.fa.gz,92.21,2.67,1613838,25168
EHA01421_bin.81.fa.gz,98.25,0.771,2735578,116387
EHA03425_bin.5.fa.gz,99.94,0.04,2484471,130792
EHA03432_bin.6.fa.gz,100.0,0.16,3948175,139042
EHA03379_bin.10.fa.gz,99.17,0.08,2362391,80482
EHA03449_bin.4.fa.gz,54.52,0.74,2327491,2582
EHA03694_bin.486.fa.gz,98.96,3.12,3425283,27830
EHA02919_bin.298.fa.gz,50.99,0.11,1358719,3031
EHA01404_bin.88.fa.gz,95.06,1.173,1979458,20417
EHA03587_bin.38.fa.gz,57.37,4.27,2377057,2584
EHA00805_bin.51.fa.gz,96.23,1.075,3238009,24772
EHA03694_bin.569.fa.gz,62.11,1.23,1755231,5471
EHA02919_bin.8.fa.gz,91.6,2.1,3292659,6769
EHA03755_bin.125.fa.gz,56.16,1.72,3120333,3724
EHA00687_bin.16.fa.gz,87.02,2.822,1632813,12894
EHA03694_bin.214.fa.gz,91.46,2.24,1357053,26229
EHA03414_bin.28.fa.gz,99.46,0.27,2831038,178482
EHA03755_bin.359.fa.gz,71.19,2.37,1671816,4246
EHA03781_bin.639.fa.gz,52.21,3.01,3019211,4980
EHA03417_bin.5.fa.gz,90.27,0.08,3016851,12589
EHA03651_bin.26.fa.gz,94.8,0.5,2706246,14782
EHA01409_bin.13.fa.gz,60.92,0.0,1664645,2995
EHA03407_bin.2.fa.gz,99.98,0.47,5908187,84818
EHA03651_bin.158.fa.gz,98.97,0.06,2172781,19651
EHA03416_bin.5.fa.gz,57.59,2.69,3255892,2799
EHA03694_bin.124.fa.gz,94.82,1.54,2537135,11639
EHA00687_bin.18.fa.gz,98.27,0.082,3685399,62453
EHA03586_bin.10.fa.gz,92.3,1.17,2211479,10367
EHA03651_bin.151.fa.gz,99.29,1.57,3186091,20970
EHA00726_bin.18.fa.gz,80.84,2.859,5270400,7599
EHA03390_bin.9.fa.gz,99.48,0.17,2265658,136175
EHA03446_bin.32.fa.gz,90.69,1.46,1188152,48086
EHA03449_bin.15.fa.gz,96.2,0.28,1906956,245053
EHA03651_bin.116.fa.gz,94.67,1.09,2250578,33294
EHA01404_bin.70.fa.gz,95.93,0.576,4065272,24821
EHA03651_bin.418.fa.gz,93.42,0.23,1616393,11902
EHA00563_bin.52.fa.gz,66.64,1.282,1859533,46287
EHA03651_bin.475.fa.gz,97.77,0.08,1758452,52011
EHA03426_bin.2.fa.gz,96.37,0.27,2747633,45218
EHA00680_bin.4.fa.gz,94.11,0.537,3426608,16780
EHA03781_bin.719.fa.gz,78.66,0.33,709654,5123
EHA00563_bin.50.fa.gz,89.82,0.029,792436,4821
EHA03443_bin.18.fa.gz,79.58,0.04,885102,2551
EHA03408_bin.7.fa.gz,94.45,0.52,3307016,15392
EHA00645_bin.22.fa.gz,98.65,1.525,1455419,4162
EHA03427_bin.1.fa.gz,99.75,0.03,4028716,49560
EHA03694_bin.527.fa.gz,99.16,0.69,3173137,26532
EHA03694_bin.319.fa.gz,75.87,2.74,2135570,16302
EHA01443_bin.54.fa.gz,54.71,3.766,2000970,3063
EHA03781_bin.58.fa.gz,81.95,5.45,2055469,39638
EHA03452_bin.10.fa.gz,88.98,0.1,910702,11444
EHA03781_bin.295.fa.gz,89.96,3.95,1606896,6968
EHA03380_bin.20.fa.gz,81.88,0.78,3107031,7966
EHA03403_bin.24.fa.gz,96.29,0.0,1811330,78572
EHA03694_bin.507.fa.gz,96.59,6.6,894548,5448
EHA03596_bin.14.fa.gz,90.49,0.94,3775419,36051
EHA03423_bin.13.fa.gz,79.17,1.12,2797080,8867
EHA03651_bin.181.fa.gz,86.94,2.75,2144094,8696
EHA02869_bin.68.fa.gz,79.62,2.42,2061071,4696
EHA03595_bin.6.fa.gz,52.99,6.87,1655556,5326
EHA03418_bin.17.fa.gz,85.15,0.89,4655488,103729
EHA03419_bin.12.fa.gz,87.16,0.26,4737648,119135
EHA03400_bin.1.fa.gz,54.62,1.43,1249177,3795
EHA00564_bin.17.fa.gz,58.33,0.838,1267462,6838
EHA03448_bin.20.fa.gz,97.47,0.6,1816753,3088
EHA03438_bin.9.fa.gz,93.86,0.01,3242498,47037
EHA03755_bin.197.fa.gz,95.33,0.35,1563928,10942
EHA03651_bin.445.fa.gz,99.78,0.0,854746,2905
EHA03427_bin.9.fa.gz,95.48,0.0,2032120,67166
EHA03781_bin.310.fa.gz,99.32,0.14,2557991,168831
EHA00717_bin.9.fa.gz,53.26,4.678,2999020,105138
EHA03781_bin.396.fa.gz,81.56,0.33,3487445,19711
EHA03410_bin.6.fa.gz,55.44,7.02,3333763,2511
EHA03651_bin.267.fa.gz,70.89,0.87,1940751,8103
EHA03423_bin.20.fa.gz,100.0,0.25,3704488,112307
EHA03410_bin.21.fa.gz,60.09,6.24,1725473,2735
EHA03651_bin.124.fa.gz,96.38,0.79,2794964,20940
EHA03411_bin.5.fa.gz,87.21,1.98,2891238,4711
EHA03781_bin.600.fa.gz,96.8,1.22,1049360,19523
EHA03402_bin.13.fa.gz,83.59,3.51,2929767,8561
EHA03781_bin.781.fa.gz,56.55,8.43,755844,3281
EHA03397_bin.16.fa.gz,90.04,0.26,2879917,16529
EHA03425_bin.1.fa.gz,57.33,0.2,1854687,3200
EHA00679_bin.5.fa.gz,80.34,1.981,1166517,4232
EHA00646_bin.24.fa.gz,98.93,0.806,3461417,75773
EHA01447_bin.25.fa.gz,88.4,1.548,5182278,18085
EHA03755_bin.74.fa.gz,97.82,1.04,3846188,44403
EHA00724_bin.20.fa.gz,63.96,1.195,2997641,24976
EHA00691_bin.6.fa.gz,55.4,1.898,2381943,5701
EHA03423_bin.24.fa.gz,99.91,0.22,4442223,49412
EHA03781_bin.571.fa.gz,97.86,0.97,1540531,24399
EHA03403_bin.11.fa.gz,96.76,0.09,2171016,20337
EHA00669_bin.23.fa.gz,87.98,4.228,5352611,61352
EHA03755_bin.207.fa.gz,81.5,0.35,1306933,3454
EHA00720_bin.8.fa.gz,91.1,0.313,3717743,80282
EHA03379_bin.38.fa.gz,56.85,8.94,2954555,9880
EHA01443_bin.102.fa.gz,85.54,0.586,2121567,16177
EHA00688_bin.8.fa.gz,94.4,2.003,3370958,22275
EHA03781_bin.687.fa.gz,93.4,0.41,1555116,7441
EHA03422_bin.11.fa.gz,73.4,3.24,2344760,3763
EHA03694_bin.355.fa.gz,100.0,1.25,1674145,50917
EHA00655_bin.5.fa.gz,77.62,0.471,2123795,8925
EHA00565_bin.3.fa.gz,99.64,1.782,5493606,48512
EHA01824_bin.13.fa.gz,96.89,1.94,3616214,77442
EHA00648_bin.12.fa.gz,56.04,2.647,1846958,2529
EHA03404_bin.5.fa.gz,98.1,1.05,2726610,17689
EHA03781_bin.670.fa.gz,58.57,1.2,1706864,4770
EHA00658_bin.10.fa.gz,92.38,0.167,2948233,14497
EHA03781_bin.603.fa.gz,98.16,2.55,1156100,37059
EHA03445_bin.13.fa.gz,84.16,0.05,3649553,95773
EHA01409_bin.50.fa.gz,89.33,0.777,2096714,3712
EHA03755_bin.134.fa.gz,88.84,1.18,2483434,25178
EHA03426_bin.18.fa.gz,72.82,7.71,4678609,87022
EHA01426_bin.29.fa.gz,86.61,1.63,3219587,6555
EHA03781_bin.257.fa.gz,97.21,0.76,2443762,6515
EHA01826_bin.17.fa.gz,97.79,0.5,4099284,26227
EHA03781_bin.253.fa.gz,94.96,1.15,1832614,18972
EHA03694_bin.141.fa.gz,99.94,0.0,3023225,31973
EHA03386_bin.2.fa.gz,99.53,0.44,2986036,200679
EHA00725_bin.13.fa.gz,55.51,9.122,4678082,26932
EHA03447_bin.2.fa.gz,94.57,0.0,2714680,44179
EHA03443_bin.11.fa.gz,53.57,0.08,967230,2816
EHA03755_bin.398.fa.gz,66.7,2.89,3804023,3391
EHA03755_bin.75.fa.gz,93.31,0.2,3785238,27186
EHA03388_bin.31.fa.gz,94.35,0.82,3288793,19033
EHA03755_bin.4.fa.gz,87.4,3.31,3544166,8542
EHA03651_bin.194.fa.gz,94.64,0.03,1920744,4007
EHA02919_bin.125.fa.gz,59.01,2.71,985197,2844
EHA03651_bin.494.fa.gz,90.94,0.12,1783201,39382
EHA03781_bin.549.fa.gz,76.61,1.21,2522067,3762
EHA01409_bin.9.fa.gz,50.86,6.896,3284466,6334
EHA03438_bin.11.fa.gz,79.55,1.34,2534425,5917
EHA00655_bin.4.fa.gz,94.35,0.403,2041735,158967
EHA03453_bin.7.fa.gz,100.0,0.3,1944407,51028
EHA03755_bin.356.fa.gz,55.43,4.15,1005462,2973
EHA03694_bin.440.fa.gz,83.78,2.23,2294158,5792
EHA01404_bin.19.fa.gz,92.14,0.223,1842966,30487
EHA01443_bin.22.fa.gz,90.08,1.228,2577978,10724
EHA00717_bin.51.fa.gz,68.0,2.628,1853515,4002
EHA03598_bin.23.fa.gz,77.82,2.51,2267103,3841
EHA02869_bin.97.fa.gz,94.32,1.11,1337549,29816
EHA03781_bin.416.fa.gz,91.11,4.34,1988807,4643
EHA00692_bin.8.fa.gz,53.44,7.758,4541463,11983
EHA03430_bin.25.fa.gz,88.6,0.14,3423556,59161
EHA03755_bin.392.fa.gz,62.65,6.74,2919640,4322
EHA03373_bin.37.fa.gz,100.0,1.21,5136877,68704
EHA03417_bin.21.fa.gz,94.25,0.06,2035659,147146
EHA03437_bin.23.fa.gz,89.41,0.27,1538955,11807
EHA03651_bin.496.fa.gz,94.47,1.04,3292360,4890
EHA00669_bin.16.fa.gz,98.24,0.128,4779133,52132
EHA02915_bin.24.fa.gz,82.03,1.01,1579688,7096
EHA00661_bin.29.fa.gz,99.2,0.949,4584011,67218
EHA02919_bin.262.fa.gz,99.98,0.02,2104728,7687
EHA01409_bin.92.fa.gz,57.34,8.076,2044624,4061
EHA00805_bin.46.fa.gz,98.92,0.0,3402299,173632
EHA01426_bin.95.fa.gz,50.64,0.943,1656949,2585
EHA00672_bin.17.fa.gz,98.15,1.442,2795655,36628
EHA03694_bin.235.fa.gz,83.12,1.15,2358397,10152
EHA01409_bin.86.fa.gz,96.87,4.291,2224122,3617
EHA03591_bin.18.fa.gz,100.0,0.0,3540701,60115
EHA03389_bin.12.fa.gz,80.53,2.98,2415494,7673
EHA03442_bin.18.fa.gz,99.94,2.2,1276780,2927
EHA03694_bin.102.fa.gz,98.24,1.12,2798390,13577
EHA03694_bin.404.fa.gz,89.1,2.13,4147751,17178
EHA03408_bin.52.fa.gz,51.48,7.26,3844181,6919
EHA02869_bin.86.fa.gz,96.25,0.07,3036450,31224
EHA03694_bin.588.fa.gz,68.65,2.67,3461464,14814
EHA03781_bin.441.fa.gz,99.1,0.12,3060240,16501
EHA01402_bin.18.fa.gz,82.78,3.076,3565489,4512
EHA03694_bin.552.fa.gz,68.46,5.73,2724318,4141
EHA03755_bin.34.fa.gz,87.35,4.01,2374838,3793
EHA02869_bin.45.fa.gz,58.44,0.68,1879852,3938
EHA03781_bin.676.fa.gz,55.57,2.99,2480915,4829
EHA03431_bin.56.fa.gz,55.43,4.03,2363440,10024
EHA01404_bin.123.fa.gz,64.61,0.0,980492,3068
EHA02919_bin.110.fa.gz,62.35,2.27,1283161,3364
EHA01826_bin.70.fa.gz,53.17,3.56,1343569,2106
EHA03781_bin.347.fa.gz,79.96,3.49,1633286,6380
EHA03588_bin.10.fa.gz,95.83,1.35,3546833,13169
EHA03781_bin.708.fa.gz,92.41,0.92,2129138,95398
EHA03651_bin.226.fa.gz,99.04,2.68,1641227,22147
EHA03694_bin.477.fa.gz,89.87,1.32,3162417,7078
EHA00728_bin.17.fa.gz,73.65,0.063,1032915,4125
EHA03403_bin.26.fa.gz,94.84,0.94,2218170,21775
EHA02919_bin.60.fa.gz,73.82,1.08,3658358,19185
EHA03781_bin.180.fa.gz,80.22,3.05,3404823,9799
EHA03755_bin.53.fa.gz,78.13,0.8,2044548,4801
EHA02919_bin.291.fa.gz,55.3,9.37,1738996,2252
EHA03651_bin.81.fa.gz,95.66,0.96,3770915,28147
EHA01404_bin.10.fa.gz,95.08,0.0,2557532,17503
EHA03694_bin.444.fa.gz,85.3,3.27,1383860,3854
EHA01439_bin.75.fa.gz,67.2,0.693,1767051,4484
EHA00652_bin.6.fa.gz,55.11,0.16,851532,2662
EHA02919_bin.176.fa.gz,81.62,5.15,4121894,17375
EHA03755_bin.68.fa.gz,84.55,0.95,1820246,4717
EHA01404_bin.57.fa.gz,98.27,0.574,3159656,68536
EHA03755_bin.388.fa.gz,53.6,2.2,2823938,7451
EHA00728_bin.10.fa.gz,91.47,4.494,1535625,6346
EHA03425_bin.6.fa.gz,95.97,0.0,1979292,201868
EHA03781_bin.283.fa.gz,95.79,1.98,1794662,6088
EHA03651_bin.396.fa.gz,57.83,0.73,2224908,4485
EHA01426_bin.8.fa.gz,98.65,0.0,2169454,161721
EHA03417_bin.19.fa.gz,88.92,0.19,3240974,7301
EHA03431_bin.59.fa.gz,60.57,0.25,976059,5759
EHA03404_bin.4.fa.gz,81.45,1.02,2974068,4260
EHA03431_bin.31.fa.gz,99.61,0.28,2104049,54234
EHA03755_bin.158.fa.gz,95.38,3.82,2480201,8526
EHA00678_bin.15.fa.gz,99.32,0.671,4140082,129440
EHA03384_bin.43.fa.gz,84.16,0.45,2195339,2227
EHA00660_bin.10.fa.gz,56.89,2.558,2638863,2908
EHA03437_bin.2.fa.gz,98.18,1.28,2226617,39544
EHA03651_bin.320.fa.gz,99.18,1.33,2632469,5129
EHA03437_bin.26.fa.gz,94.95,0.0,1884004,67175
EHA03755_bin.160.fa.gz,84.19,3.51,4045674,7669
EHA03781_bin.662.fa.gz,70.99,1.22,2017936,5231
EHA00726_bin.29.fa.gz,93.16,1.424,2009900,115150
EHA02915_bin.63.fa.gz,98.95,3.85,1307111,2554
EHA00691_bin.20.fa.gz,93.19,3.173,4931123,38338
EHA03755_bin.284.fa.gz,97.78,3.28,4318190,45367
EHA03694_bin.487.fa.gz,96.39,0.28,2943432,40835
EHA00717_bin.28.fa.gz,76.88,1.881,1090480,50254
EHA03755_bin.237.fa.gz,92.02,4.24,3382456,20831
EHA03781_bin.54.fa.gz,93.45,0.03,3034186,33422
EHA03781_bin.240.fa.gz,87.98,0.99,1518234,29292
EHA03588_bin.31.fa.gz,50.04,8.38,2597891,22520
EHA03781_bin.179.fa.gz,64.22,2.04,1332453,15107
EHA03438_bin.25.fa.gz,93.98,0.37,2897053,47924
EHA03694_bin.213.fa.gz,74.51,0.89,861540,6603
EHA01409_bin.18.fa.gz,93.38,0.967,758849,2608
EHA03424_bin.6.fa.gz,95.11,0.25,4447947,159933
EHA03410_bin.10.fa.gz,62.75,2.1,2065863,3365
EHA03651_bin.321.fa.gz,84.27,0.36,2472819,4172
EHA01432_bin.136.fa.gz,98.59,0.0,3160979,138101
EHA02915_bin.32.fa.gz,84.46,2.28,3276845,10941
EHA03651_bin.48.fa.gz,95.14,0.27,2811933,20747
EHA03586_bin.32.fa.gz,93.87,2.35,4927614,43737
EHA00724_bin.7.fa.gz,93.52,1.258,1999881,8020
EHA03781_bin.139.fa.gz,75.67,1.89,1388897,21894
EHA00717_bin.3.fa.gz,86.3,1.196,2113819,5488
EHA00666_bin.14.fa.gz,95.67,1.191,4106196,18476
EHA03410_bin.11.fa.gz,88.61,0.12,3504068,59372
EHA03584_bin.3.fa.gz,52.68,1.11,2336515,3850
EHA03694_bin.606.fa.gz,57.99,1.17,4519869,6855
EHA00650_bin.7.fa.gz,95.94,0.929,4990706,35226
EHA03451_bin.2.fa.gz,76.98,2.57,1721402,9460
EHA03434_bin.38.fa.gz,63.02,0.03,1257079,2660
EHA03435_bin.19.fa.gz,98.66,0.12,3155213,12695
EHA01415_bin.70.fa.gz,60.85,2.313,1560041,5507
EHA03781_bin.267.fa.gz,96.1,0.18,2057005,11916
EHA01432_bin.65.fa.gz,52.3,2.589,3281257,4951
EHA03651_bin.112.fa.gz,89.78,0.02,903732,66248
EHA02919_bin.201.fa.gz,97.28,0.77,3407703,5895
EHA03596_bin.3.fa.gz,98.6,2.74,2649830,103905
EHA03755_bin.297.fa.gz,86.08,2.75,2506359,5865
EHA03781_bin.73.fa.gz,52.33,0.04,2274532,3510
EHA03781_bin.668.fa.gz,81.26,0.66,2167927,3853
EHA03437_bin.40.fa.gz,89.54,0.48,1949701,7060
EHA03781_bin.448.fa.gz,86.75,0.01,2067929,106231
EHA00564_bin.8.fa.gz,97.58,0.0,1383446,218306
EHA03755_bin.238.fa.gz,84.94,2.4,3404553,28675
EHA03755_bin.227.fa.gz,80.83,1.72,3321652,4814
EHA00726_bin.13.fa.gz,99.02,0.384,4748219,117248
EHA02919_bin.120.fa.gz,78.96,2.05,2230167,4528
EHA03431_bin.67.fa.gz,50.0,9.04,3005470,2360
EHA03434_bin.24.fa.gz,99.69,0.17,2636039,34032
EHA02915_bin.113.fa.gz,56.42,6.28,3810312,36122
EHA03694_bin.106.fa.gz,79.33,2.65,3214346,10196
EHA03651_bin.251.fa.gz,81.22,0.88,2734659,8057
EHA03378_bin.40.fa.gz,93.41,2.11,5250365,118956
EHA03781_bin.751.fa.gz,97.32,0.16,3948025,4349
EHA03442_bin.23.fa.gz,99.99,0.71,1565958,4450
EHA03425_bin.10.fa.gz,51.92,9.8,3034425,2319
EHA01409_bin.60.fa.gz,83.23,2.417,994390,6017
EHA03391_bin.18.fa.gz,64.26,1.27,2414403,4834
EHA03694_bin.271.fa.gz,82.0,4.98,1473733,3828
EHA03382_bin.32.fa.gz,91.66,2.52,4085998,27839
EHA03390_bin.10.fa.gz,99.54,1.75,6556787,61074
EHA03442_bin.22.fa.gz,92.89,0.73,2853527,5123
EHA03439_bin.7.fa.gz,99.41,0.03,2131287,141835
EHA03781_bin.637.fa.gz,57.48,8.06,1432382,3521
EHA03437_bin.39.fa.gz,84.2,1.66,2594153,23545
EHA01432_bin.160.fa.gz,65.0,0.0,4494801,15990
EHA03694_bin.375.fa.gz,85.51,0.94,1973564,11384
EHA00726_bin.30.fa.gz,94.28,0.278,5078453,96905
EHA00679_bin.11.fa.gz,89.2,0.559,2283536,8779
EHA02915_bin.33.fa.gz,96.34,3.17,4089631,14730
EHA00645_bin.15.fa.gz,94.11,0.653,906105,6792
EHA00563_bin.17.fa.gz,55.07,4.43,1453762,3630
EHA03651_bin.454.fa.gz,71.97,3.77,1280609,3291
EHA03755_bin.282.fa.gz,85.71,3.31,3066105,8784
EHA03386_bin.33.fa.gz,86.47,1.17,4555861,69004
EHA03781_bin.663.fa.gz,59.44,4.14,1637558,4101
EHA03781_bin.102.fa.gz,97.4,0.25,1154934,24148
EHA03651_bin.502.fa.gz,57.28,4.02,1546699,7098
EHA03584_bin.38.fa.gz,50.91,7.59,4182144,2830
EHA03388_bin.25.fa.gz,54.25,2.43,1802832,2847
EHA03406_bin.8.fa.gz,98.98,0.88,3315731,69195
EHA03411_bin.32.fa.gz,84.32,1.91,4565605,35060
EHA01443_bin.9.fa.gz,64.33,7.936,3980656,4708
EHA03781_bin.644.fa.gz,100.0,0.03,4455782,4262
EHA01404_bin.50.fa.gz,74.31,1.486,866016,5998
EHA02919_bin.96.fa.gz,86.23,5.22,1077193,2716
EHA03755_bin.27.fa.gz,86.67,4.58,3645920,13001
